# Phase 16-5 Primitive Logging Audit

Source: parser-based scan that skips comments and string literals; case-sensitive, unlike the earlier PowerShell rough count.

## Counts
- Category A: 186
- Category B: 18
- Category C: 2
- Category E: 4
- Total true primitive calls: 210

## Category Legend
- A: server diagnostic, migrate to LOG_*
- B: intended console/utility output, migrate to fmt::print
- C: fatal/assertion output, keep visible and log
- D: dead code, remove if verified
- E: test/example/special exception, leave or document

## Call Sites
SRC/Server/Base/grid.cpp:228 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("Grid %p\n", this)
SRC/Server/Database/ClientManager.cpp:276 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, " Item range Initialize Failed. Exit DBCache Server\n")
SRC/Server/Database/ClientManager.cpp:286 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stdout | fprintf(stdout, "PROTO_FROM_DB: %s\n", bIsProtoReadFromDB?"Enabled":"Disabled")
SRC/Server/Database/ClientManager.cpp:291 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stdout | fprintf(stdout, "MIRROR2DB: %s\n", g_bMirror2DB?"Enabled":"Disabled")
SRC/Server/Database/ClientManager.cpp:314 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("socket")
SRC/Server/Database/ClientManagerBoot.cpp:233 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Could not load mob_names.txt\n")
SRC/Server/Database/ClientManagerBoot.cpp:246 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Could not load mob_proto.txt. Wrong file format?\n")
SRC/Server/Database/ClientManagerBoot.cpp:265 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Could not process entry.\n")
SRC/Server/Database/ClientManagerBoot.cpp:446 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Could not load item_names.txt.\n")
SRC/Server/Database/ClientManagerBoot.cpp:458 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Could not load item_proto.txt. Wrong file format?\n")
SRC/Server/Database/ClientManagerBoot.cpp:473 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Could not load item_proto.txt. Wrong file format?\n")
SRC/Server/Database/ClientManagerBoot.cpp:487 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Failed to load item_proto table.\n")
SRC/Server/Database/ClientManagerBoot.cpp:1424 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stdout | fprintf(stdout, "Loading mob_proto from MySQL\n")
SRC/Server/Database/ClientManagerBoot.cpp:1622 | B | Progress/status console output from loader or utility-like path. | fprintf_stdout | fprintf(stdout, "Complete! %u Mobs loaded.\n", addNumber)
SRC/Server/Database/ClientManagerBoot.cpp:1660 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stdout | fprintf(stdout, "Loading item_proto from MySQL\n")
SRC/Server/Database/ClientManagerBoot.cpp:1833 | B | Progress/status console output from loader or utility-like path. | fprintf_stdout | fprintf(stdout, "Complete! %u Items loaded.\n", addNumber)
SRC/Server/Database/grid.cpp:226 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("Grid %p\n", this)
SRC/Server/Database/grid.cpp:231 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("%d", m_pGrid[y * m_iWidth + x])
SRC/Server/Database/grid.cpp:233 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("\n")
SRC/Server/Database/ItemAwardManager.cpp:137 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("ITEM_AWARD load id %u bMall %d \n", kData->dwID, kData->bMall)
SRC/Server/Database/Main.cpp:138 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Loading conf.txt failed.\n")
SRC/Server/Database/Main.cpp:144 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Real Server\n")
SRC/Server/Database/Main.cpp:147 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Test Server\n")
SRC/Server/Database/Main.cpp:151 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Log Off")
SRC/Server/Database/Main.cpp:157 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Log On")
SRC/Server/Database/Main.cpp:166 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Cannot find CLIENT_HEART_FPS configuration.\n")
SRC/Server/Database/Main.cpp:176 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Setting log keeping days to %d\n", tmpValue)
SRC/Server/Database/Main.cpp:235 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "%s %s", g_stLocaleNameColumn.c_str(), szBuf)
SRC/Server/Database/Main.cpp:267 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, " failed, retrying in 5 seconds")
SRC/Server/Database/Main.cpp:270 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Success PLAYER\n")
SRC/Server/Database/Main.cpp:295 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, " failed, retrying in 5 seconds")
SRC/Server/Database/Main.cpp:298 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Success ACCOUNT\n")
SRC/Server/Database/Main.cpp:322 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, " failed, retrying in 5 seconds")
SRC/Server/Database/Main.cpp:325 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Success COMMON\n")
SRC/Server/Database/version.cpp:17 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "cannot open VERSION.txt\n")
SRC/Server/GameServer/ani.cpp:331 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("[%s][%s] = %u\n", FN_race_string(race), FN_weapon_string(weapon), attack_speed(race, weapon))
SRC/Server/GameServer/ani.cpp:336 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("\n")
SRC/Server/GameServer/config.cpp:195 | C | Startup configuration fatal/error output; keep visible and log as fatal diagnostic. | fprintf_stdout | fprintf(stdout, "!!! FATAL ERROR !!! multiple MAP_ALLOW setting!!\n")
SRC/Server/GameServer/config.cpp:199 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "MAP ALLOW %d\n", index)
SRC/Server/GameServer/config.cpp:262 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "INTERNAL_IP: %s interface %s\n", netip, ifap->ifa_name)
SRC/Server/GameServer/config.cpp:264 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "INTERNAL_IP: %s\n", netip)
SRC/Server/GameServer/config.cpp:271 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "INTERNAL_IP: %s interface %s\n", netip, ifap->ifa_name)
SRC/Server/GameServer/config.cpp:273 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "INTERNAL_IP: %s\n", netip)
SRC/Server/GameServer/config.cpp:280 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "PUBLIC_IP: %s interface %s\n", netip, ifap->ifa_name)
SRC/Server/GameServer/config.cpp:282 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "PUBLIC_IP: %s\n", netip)
SRC/Server/GameServer/config.cpp:303 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "INTERNAL_IP -> PUBLIC_IP: %s\n", g_szPublicIP)
SRC/Server/GameServer/config.cpp:351 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "Can not open [%s]\n", configName)
SRC/Server/GameServer/config.cpp:362 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "HOSTNAME: %s\n", g_stHostname.c_str())
SRC/Server/GameServer/config.cpp:386 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "PLAYER_SQL syntax: logsql <host user password db>\n")
SRC/Server/GameServer/config.cpp:410 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "COMMON_SQL syntax: logsql <host user password db>\n")
SRC/Server/GameServer/config.cpp:434 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "LOG_SQL syntax: logsql <host user password db>\n")
SRC/Server/GameServer/config.cpp:456 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "ITEMSHOP_SQL syntax: logsql <host user password db>\n")
SRC/Server/GameServer/config.cpp:472 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("LOAD_COMMON_SQL_INFO_FAILURE:")
SRC/Server/GameServer/config.cpp:473 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("")
SRC/Server/GameServer/config.cpp:474 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("CONFIG:")
SRC/Server/GameServer/config.cpp:475 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("------------------------------------------------")
SRC/Server/GameServer/config.cpp:476 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("COMMON_SQL: HOST USER PASSWORD DATABASE")
SRC/Server/GameServer/config.cpp:477 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("")
SRC/Server/GameServer/config.cpp:483 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("LOAD_PLAYER_SQL_INFO_FAILURE:")
SRC/Server/GameServer/config.cpp:484 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("")
SRC/Server/GameServer/config.cpp:485 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("CONFIG:")
SRC/Server/GameServer/config.cpp:486 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("------------------------------------------------")
SRC/Server/GameServer/config.cpp:487 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("PLAYER_SQL: HOST USER PASSWORD DATABASE")
SRC/Server/GameServer/config.cpp:488 | A | GameServer startup/config diagnostic; route through modern logging. | puts_fputs | puts("")
SRC/Server/GameServer/config.cpp:497 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "cannot start server while no common sql connected\n")
SRC/Server/GameServer/config.cpp:501 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "CommonSQL connected\n")
SRC/Server/GameServer/config.cpp:513 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "COMMON_SQL: DirectQuery failed : %s\n", szQuery)
SRC/Server/GameServer/config.cpp:526 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "COMMON_SQL: invalid locale key %s\n", row[1])
SRC/Server/GameServer/config.cpp:535 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "Setting DB to locale %s\n", g_stLocale.c_str())
SRC/Server/GameServer/config.cpp:546 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "PlayerSQL.ConnectError\n")
SRC/Server/GameServer/config.cpp:550 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "PlayerSQL connected\n")
SRC/Server/GameServer/config.cpp:559 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "LogSQL.ConnectError\n")
SRC/Server/GameServer/config.cpp:563 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "LogSQL connected\n")
SRC/Server/GameServer/config.cpp:578 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "[SKILL_PERCENT] Query failed: %s", szQuery)
SRC/Server/GameServer/config.cpp:591 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SKILL_POWER_BY_LEVEL %s\n", p)
SRC/Server/GameServer/config.cpp:602 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "[SKILL_PERCENT] locale table has not enough skill information! (count: %d query: %s)", cnt, szQuery)
SRC/Server/GameServer/config.cpp:606 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SKILL_POWER_BY_LEVEL: Done! (count %d)\n", cnt)
SRC/Server/GameServer/config.cpp:629 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SKILL_POWER_BY_JOB %d %s\n", job, p)
SRC/Server/GameServer/config.cpp:640 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "[SKILL_PERCENT] locale table has not enough skill information! (count: %d query: %s)", cnt, szQuery)
SRC/Server/GameServer/config.cpp:644 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SKILL_POWER_BY_JOB: Done! (job: %d count: %d)\n", job, cnt)
SRC/Server/GameServer/config.cpp:727 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "AUTH_SERVER: syntax error: <ip|master> <port>\n")
SRC/Server/GameServer/config.cpp:736 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "AUTH_SERVER: I am the master\n")
SRC/Server/GameServer/config.cpp:742 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "AUTH_SERVER: master %s %u\n", g_stAuthMasterIP.c_str(), g_wAuthMasterPort)
SRC/Server/GameServer/config.cpp:774 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "WEB_AUTH syntax error (ex: WEB_AUTH <host(metin2.co.kr) uri(/kyw/gameauth.php)>\n")
SRC/Server/GameServer/config.cpp:871 | A | GameServer startup/config diagnostic; route through modern logging. | bare_printf | printf("-----------------------------------------------\n")
SRC/Server/GameServer/config.cpp:872 | A | GameServer startup/config diagnostic; route through modern logging. | bare_printf | printf("TEST_SERVER\n")
SRC/Server/GameServer/config.cpp:873 | A | GameServer startup/config diagnostic; route through modern logging. | bare_printf | printf("-----------------------------------------------\n")
SRC/Server/GameServer/config.cpp:894 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "ITEM_COUNT_LIMIT: %d\n", g_bItemCountLimit)
SRC/Server/GameServer/config.cpp:901 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "EMPIRE_SHOP_PRICE_3x: DISABLED\n")
SRC/Server/GameServer/config.cpp:910 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SHOP_PRICE_3X_TAX: %s\n", (!g_bEmpireShopPriceTripleDisable)?"ENABLED":"DISABLED")
SRC/Server/GameServer/config.cpp:931 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "CHANGE_ATTR_TIME_LIMIT: DISABLED\n")
SRC/Server/GameServer/config.cpp:940 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "CHANGE_ATTR_TIME_LIMIT: %u\n", g_dwItemBonusChangeTime)
SRC/Server/GameServer/config.cpp:947 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "PRISM_ITEM_REQUIREMENT: DISABLED\n")
SRC/Server/GameServer/config.cpp:956 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "PRISM_ITEM_REQUIRE: %s\n", (!g_bDisablePrismNeed)?"ENABLED":"DISABLED")
SRC/Server/GameServer/config.cpp:963 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GLOBAL_SHOUT: ENABLED\n")
SRC/Server/GameServer/config.cpp:972 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GLOBAL_SHOUT: %s\n", (g_bGlobalShoutEnable)?"ENABLED":"DISABLED")
SRC/Server/GameServer/config.cpp:979 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "EMOTION_MASK_REQUIREMENT: DISABLED\n")
SRC/Server/GameServer/config.cpp:988 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "EMOTION_MASK_REQUIRE: %s\n", (g_bDisableEmotionMask)?"ENABLED":"DISABLED")
SRC/Server/GameServer/config.cpp:995 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "ENABLE_BOOTARY_CHECK: ENABLED\n")
SRC/Server/GameServer/config.cpp:1004 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "BOOTARY_CHECK: %s\n", (g_bEnableBootaryCheck)?"ENABLED":"DISABLED")
SRC/Server/GameServer/config.cpp:1015 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "STATUS_POINT_GET_LEVEL_LIMIT: %d\n", g_iStatusPointGetLevelLimit)
SRC/Server/GameServer/config.cpp:1026 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "STATUS_POINT_SET_MAX_VALUE: %d\n", g_iStatusPointSetMaxValue)
SRC/Server/GameServer/config.cpp:1037 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SHOUT_LIMIT_LEVEL: %d\n", g_iShoutLimitLevel)
SRC/Server/GameServer/config.cpp:1047 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "DB_LOG_LEVEL: %d\n", g_iDbLogLevel)
SRC/Server/GameServer/config.cpp:1057 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SYS_LOG_LEVEL: %d\n", g_iSysLogLevel)
SRC/Server/GameServer/config.cpp:1067 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "ITEM_DESTROY_TIME_AUTOGIVE: %d\n", g_aiItemDestroyTime[ITEM_DESTROY_TIME_AUTOGIVE])
SRC/Server/GameServer/config.cpp:1077 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "ITEM_DESTROY_TIME_DROPGOLD: %d\n", g_aiItemDestroyTime[ITEM_DESTROY_TIME_DROPGOLD])
SRC/Server/GameServer/config.cpp:1087 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "ITEM_DESTROY_TIME_DROPITEM: %d\n", g_aiItemDestroyTime[ITEM_DESTROY_TIME_DROPITEM])
SRC/Server/GameServer/config.cpp:1108 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "CHECK_VERSION_SERVER: %d\n", g_bCheckClientVersion)
SRC/Server/GameServer/config.cpp:1115 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "CHECK_VERSION_VALUE: %s\n", g_stClientVersion.c_str())
SRC/Server/GameServer/config.cpp:1125 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GM_HOST_CHECK: %d\n", g_bGMHostCheck)
SRC/Server/GameServer/config.cpp:1135 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GUILD_INVITE_LIMIT: %d\n", g_bGuildInviteLimit)
SRC/Server/GameServer/config.cpp:1145 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "GUILD_INFINITE_MEMBERS: %d\n", g_bGuildInfiniteMembers)
SRC/Server/GameServer/config.cpp:1154 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "EMPIRE_LANGUAGE_CHECK: %s\n", (g_bDisableEmpireLanguageCheck)?"DISABLED":"ENABLED")
SRC/Server/GameServer/config.cpp:1163 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SKILLBOOK_NEXTREAD_MIN: %u\n", g_dwSkillBookNextReadMin)
SRC/Server/GameServer/config.cpp:1172 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "SKILLBOOK_NEXTREAD_MAX: %u\n", g_dwSkillBookNextReadMax)
SRC/Server/GameServer/config.cpp:1281 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "PK_PROTECT_LEVEL: %d", PK_PROTECT_LEVEL)
SRC/Server/GameServer/config.cpp:1288 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "ATTR_TRANSFER_LIMIT: %d\n", gAttrTransferLimit)
SRC/Server/GameServer/config.cpp:1299 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "PLAYER_MAX_LEVEL: %d\n", gPlayerMaxLevel)
SRC/Server/GameServer/config.cpp:1308 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "STONE_CHANCE: %u/n", stone_chance)
SRC/Server/GameServer/config.cpp:1314 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "SHUTDOWN_AGE: %d\n", gShutdownAge)
SRC/Server/GameServer/config.cpp:1321 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "SHUTDOWN_ENABLE: %d\n", gShutdownEnable)
SRC/Server/GameServer/config.cpp:1360 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "CMD syntax error: <cmd> <PLAYER | LOW_WIZARD | WIZARD | HIGH_WIZARD | GOD | IMPLEMENTOR | DISABLE>\n")
SRC/Server/GameServer/config.cpp:1362 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "CMD syntax error: <cmd> <LOW_WIZARD | WIZARD | HIGH_WIZARD | GOD | IMPLEMENTOR | DISABLE>\n")
SRC/Server/GameServer/config.cpp:1386 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "CMD syntax error: <cmd> <PLAYER | LOW_WIZARD | WIZARD | HIGH_WIZARD | GOD | IMPLEMENTOR | DISABLE>\n")
SRC/Server/GameServer/config.cpp:1388 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "CMD syntax error: <cmd> <LOW_WIZARD | WIZARD | HIGH_WIZARD | GOD | IMPLEMENTOR | DISABLE>\n")
SRC/Server/GameServer/config.cpp:1394 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stdout | fprintf(stdout, "CMD_REWRITE: [%s] [%s:%d]\n", cmd, levelname, level)
SRC/Server/GameServer/config.cpp:1464 | A | GameServer startup/config diagnostic; route through modern logging. | fprintf_stderr | fprintf(stderr, "Can not open [%s]\n", st_configFileName.c_str())
